# [FABLE-5] sq-hmd7l.2 — the PINNED 200 fixed FTS query pairs (a<TAB>b), byte-identical
# to the fixed_queries() set inside crates/sparq-text/examples/bench_text.rs (independent
# query seed 0xF7501, rand =0.10.1 StdRng — see the root Cargo.lock pin). Derived by
# scripts/bench/fts-corpus-gen `queries` (a verbatim-in-behaviour replica, verified by
# reproducing bench/fts/expected.tsv exactly); regenerate + diff with:
#   cargo build --release --manifest-path scripts/bench/fts-corpus-gen/Cargo.toml
#   scripts/bench/fts-corpus-gen/target/release/fts-corpus-gen queries
# scripts/bench/fts-same-box.sh re-derives this file every jena-text run
# (pairs_pinned_check); a drift is RECORDED in the envelope, never adjusted for.
parse4	plan127
match114	delta0
merge2	score5
delta420	score101
parse9	join152
delta51	graph130
parse55	literal313
score370	join274
literal140	data137
term85	score191
term14	literal448
term73	merge37
plan53	index497
scan157	merge244
index33	join387
index39	cache17
graph131	prefix0
prefix476	search26
graph24	plan188
merge338	shard421
query59	merge22
graph1	merge21
store212	query337
match9	shard5
search6	data196
score308	score22
cache309	score33
index280	graph64
delta2	prefix92
token158	join105
token61	index29
index144	term0
plan138	parse141
plan225	index442
search25	scan482
scan219	prefix267
data45	shard57
shard485	delta380
graph268	data42
term337	index2
term128	term44
scan6	merge69
scan17	prefix305
parse216	token78
query324	token437
graph18	shard164
delta95	delta82
match200	merge76
token47	parse78
cache431	cache0
match13	plan11
index45	scan37
cache13	data297
join240	cache458
parse153	score7
match289	shard208
search156	term78
cache39	merge320
match55	data9
delta36	match59
token363	query26
prefix381	plan142
data0	index459
prefix174	literal227
score193	match62
store32	parse34
query146	token442
scan33	data301
match44	parse429
plan12	search16
search301	match36
prefix75	query242
plan385	literal308
score55	match5
store181	search327
match491	search9
join220	delta209
literal36	plan159
store9	merge145
prefix43	literal495
term28	graph121
join486	graph428
plan404	token16
index222	literal250
merge448	store26
query43	scan66
join141	merge121
scan253	parse30
prefix376	join396
match13	graph95
search353	shard163
store135	merge327
scan6	parse226
literal119	join202
scan17	merge325
cache77	index1
score36	term2
term96	store455
query179	data302
delta119	cache228
parse259	shard76
literal65	search25
prefix202	shard141
term134	delta26
literal304	token265
parse44	parse107
match6	shard54
merge134	scan119
shard11	prefix11
score28	term61
data114	scan200
literal81	match270
shard13	prefix312
plan318	shard108
data27	parse4
index110	data49
data20	query25
literal281	data68
shard122	match37
score421	merge4
token20	query307
parse311	graph285
index321	search10
search430	score23
shard47	token50
join0	store1
graph5	delta0
plan23	match75
index141	score177
merge171	term392
data445	store239
scan153	plan339
prefix289	shard197
merge244	query257
delta280	graph30
literal0	merge431
graph195	scan436
match62	parse393
plan13	plan221
join45	query26
score115	scan88
search227	match45
term36	store251
delta0	plan4
graph5	scan169
plan129	search91
store461	store211
data13	graph145
prefix55	token37
index335	score53
merge64	literal105
merge307	merge120
store75	store0
score121	search9
join194	literal53
token148	prefix401
literal383	term42
prefix112	match394
token296	merge417
store50	term17
join241	token12
shard130	delta204
graph205	token222
shard462	plan176
graph342	join319
store449	join43
term397	plan5
match81	term282
term491	delta103
score382	match74
plan366	data52
plan115	join401
search9	join3
prefix360	token38
match361	term138
plan101	delta3
score7	plan110
query355	token448
literal55	cache0
cache150	match493
score494	parse470
match0	graph142
plan160	delta0
token300	graph303
prefix443	store249
match39	token300
query10	scan105
store15	prefix19
query154	search225
match353	delta11
token174	index368
scan63	query0
score9	plan235
delta45	query491
literal220	graph21
term364	token102
match235	parse53
parse63	token399
token245	term51
token187	term444
